nomsuc2,numinv,caract,marca,color,moduni,numser,nomsuc1,diasapar,nomvenapar,diaseninv,numfacc,fecreg,tipocompra,obs_veh,nummot,numinv2,tipuni,llaves,desnac_imp,modellinea,descvers,ctoori,ctocon,ctototal
"BODEGA JUCHITAN","29145","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A4TK819490","JUCHITAN",0,"",203,"4084753",30/01/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25670887H","","FGAL1","","NACIONAL","","",502586.66,0.00,502586.66
"BODEGA SALINA CRUZ","29619","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A5TK823256","SALINA CRUZ",0,"",175,"4103608",27/02/2026,"PV3","TUMBABURROS DEPORTIVO","QR25674587H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"PEÑUELA","29637","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A4TK823698","CORDOBA",0,"",174,"4104293",28/02/2026,"PV3","DISPONIBLE","QR25675362H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"PEÑUELA","29638","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A5TK824259","CORDOBA",0,"",174,"4104294",28/02/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25675371H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","29732","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A4TK822261","ORIZABA",0,"",165,"4106138",09/03/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25672891H","","FGAL1","","NACIONAL","","",504170.26,6540.91,510711.17
"BODEGA TIERRABLANCA","29904","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A7TK825641","TIERRA BLANCA",0,"",150,"4116261",24/03/2026,"PV3","DISPONIBLE","QR25677221H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA SALINA CRUZ","30039","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A4TK825631","SALINA CRUZ",0,"",150,"4116472",24/03/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25677743H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","30054","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A0TK826775","ORIZABA",0,"",149,"4117798",25/03/2026,"PV3","DISPONIBLE","QR25679363H","","FGAL1","","NACIONAL","","",504170.26,286.47,504456.73
"BODEGA ORIZABA","30117","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A9TK828654","ORIZABA",0,"",147,"4120132",27/03/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25679987H","","FGAL1","","NACIONAL","","",504170.26,3454.98,507625.24
"BODEGA TUXTEPEC","30126","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33AXTK828498","TUXTEPEC",0,"",147,"4120275",27/03/2026,"PV3","DISPONIBLE","QR25680061H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","30203","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A1TK828597","ORIZABA",0,"",143,"4123222",31/03/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25679993H","","FGAL1","","NACIONAL","","",504170.26,3410.65,507580.91
"BODEGA TUXTEPEC","30227","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A9TK828802","TUXTEPEC",0,"",143,"4123430",31/03/2026,"PV3","SEGURO DE LLANTA REFACC TIPO 1 $ 3,210 + CAJA DE HERRAMIENTAS $ 4,400.00","QR25680054H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA SALINA CRUZ","30236","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A7TK828796","SALINA CRUZ",0,"",143,"4123429",31/03/2026,"PV3","TUMBABURROS DEPORTIVO $ 13,120 + TAPETE HULE FRONTIER $ 1,570","QR25680052H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA TUXTEPEC","30261","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A5TK827579","TUXTEPEC",0,"",143,"4124669",31/03/2026,"PV3","TUMBABURROS DEPORTIVO","QR25679319H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA TUXTEPEC","30263","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A3TK827922","TUXTEPEC",0,"",143,"4124667",31/03/2026,"PV3","TUMBABURROS DEPORTIVO","QR25679080H","","FGAL1","","NACIONAL","","",504170.26,0.00,504170.26
"BODEGA ORIZABA","30850","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A5TL652843","ORIZABA",0,"",82,"4149413",31/05/2026,"PV3","(ORIZABA), CANAL ASIG. : AVR/MAR - DIRECTA NMX","QR25684928H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TIERRABLANCA","30863","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A6TL652740","TIERRA BLANCA",0,"",82,"4149098",31/05/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25684953H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TUXTEPEC","30947","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","ROJO/NEGRO","2026","3N6AD33A6TL656898","TUXTEPEC",0,"",74,"4151239",08/06/2026,"PV3","DISPONIBLE","QR25688638H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TUXTEPEC","31015","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","ROJO/NEGRO","2026","3N6AD33A4TL657340","TUXTEPEC",0,"",70,"4154007",12/06/2026,"PV3","DISPONIBLE","QR25687909H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA ORIZABA","31055","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A6TL658313","ORIZABA",0,"",66,"4155783",16/06/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25690340H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA SALINA CRUZ","31314","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A9TL661559","SALINA CRUZ",0,"",46,"4168225",06/07/2026,"PV3","TUMBABURROS DEPORTIVO","QR25694676H","","FGAL1","","NACIONAL","","",504292.26,0.00,504292.26
"BODEGA TUXTEPEC","31583","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","PLATA/NEGRO","2026","3N6AD33A5TL650042","TUXTEPEC",0,"",17,"4182151",04/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25680014H","","FGAL1","","NACIONAL","","",504431.10,0.00,504431.10
"PEÑUELA","31703","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33A0TL667864","CORDOBA",0,"",10,"4185654",11/08/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25700258H","","FGAL1","","NACIONAL","","",504431.10,0.00,504431.10
"BODEGA ORIZABA","31722","FRONTIER LE 2.5L 4 CIL TA 4X2  AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33AXTL668116","ORIZABA",0,"",9,"4186295",12/08/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25700595H","","FGAL1","","NACIONAL","","",504431.10,0.00,504431.10
"BODEGA SALINA CRUZ","29093","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33B8TK818349","SALINA CRUZ",0,"",205,"4081887",28/01/2026,"PV3","DISPONIBLE","QR25669673H","","FPAL1","","NACIONAL","","",594655.66,0.00,594655.66
"PEÑUELA","30217","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33B0TK827756","CORDOBA",0,"",143,"4123228",31/03/2026,"PV3","TUMBABURROS DEPORTIVO, TAPETE HULE, NITRO ACCESORIO TAPON","QR25680094H","","FPAL1","","NACIONAL","","",596970.26,0.00,596970.26
"BODEGA JUCHITAN","30368","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33BXTL650529","JUCHITAN",0,"",115,"4131394",28/04/2026,"PV3","DISPONIBLE","QR25682060H","","FPAL1","","NACIONAL","","",597092.26,0.00,597092.26
"BODEGA TUXTEPEC","30642","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33B2TL650279","TUXTEPEC",0,"",93,"4141636",20/05/2026,"PV3","ESTRIBOS","QR25681539H","","FPAL1","","NACIONAL","","",597092.26,0.00,597092.26
"BODEGA TIERRABLANCA","30864","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33B6TL654285","TIERRA BLANCA",1,"MARIA DEL SOL ROSETE",82,"4149100",31/05/2026,"PV3","20/08/26 406 CALIHUA PANZO ISMAEL","QR25685924H","","FPAL1","","NACIONAL","","",597092.26,0.00,597092.26
"PEÑUELA","31294","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33B5TL654973","CORDOBA",0,"",52,"4167584",30/06/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : AVR/MAR - DIRECTA NMX","QR25685306H","","FPAL1","","NACIONAL","","",597092.26,0.00,597092.26
"PEÑUELA","31323","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33B3TL662327","CORDOBA",0,"",45,"4168572",07/07/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25693605H","","FPAL1","","NACIONAL","","",597092.26,0.00,597092.26
"BODEGA SALINA CRUZ","31428","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","ROJO/NEGRO","2026","3N6AD33B8TL661903","SALINA CRUZ",0,"",30,"4174109",22/07/2026,"PV3","BARRAS DE TOLDO","QR25691861H","","FPAL1","","NACIONAL","","",597092.26,0.00,597092.26
"PEÑUELA","31575","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","BLANCO/NEGRO","2026","3N6AD33B4TL662496","CORDOBA",0,"",17,"4181939",04/08/2026,"PV3","CAMBIO RIN Y LLANTA | SE TOMA PIEZA PARA REPARACION","QR25694642H","","FPAL1","","NACIONAL","","",597230.10,0.00,597230.10
"BODEGA JUCHITAN","31730","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","GRIS VOLCANICO/NEGRO","2026","3N6AD33B6TL668106","JUCHITAN",0,"",9,"4186411",12/08/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25700643H","","FPAL1","","NACIONAL","","",597230.10,0.00,597230.10
"BODEGA TUXTEPEC","31741","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","GRIS VOLCANICO/NEGRO","2026","3N6AD33B9TL668598","TUXTEPEC",0,"",8,"4186983",13/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25701287H","","FPAL1","","NACIONAL","","",597230.10,0.00,597230.10
"EN TRANSITO","31744","FRONTIER PRO-4X 2.5L 4 CIL TA 4X4 AA","NISSAN","GRIS VOLCANICO/NEGRO","2026","3N6AD33B8TL668754","ORIZABA",0,"",7,"4187166",14/08/2026,"PV3","DETENIDA EN PLANTA VALIDACION DE CALIDAD","QR25699246H","","FPAL1","","NACIONAL","","",597230.10,0.00,597230.10
"BODEGA TUXTEPEC","28892","FRONTIER V6 PRO-4X T/A 4X4 3.8 LTS. 6 CIL","NISSAN","VERDE MITICO/NEGRO","2026","1N6ED1EK1TN621973","TUXTEPEC",0,"",217,"6105000",16/01/2026,"P4V","4 RINES GRAF| SENSOR| SUSPENCION| ORQUELLO| ESCAPE NISMO | LLANTA 265 | CALCOMANIA COFRE","VQ38 423352D","","FUAP2-3","","IMPORTADO","","",778033.48,0.00,778033.48
"BODEGA SALINA CRUZ","28904","FRONTIER V6 PRO-4X T/A 4X4 3.8 LTS. 6 CIL","NISSAN","VERDE MITICO/NEGRO","2026","1N6ED1EKXTN621955","SALINA CRUZ",0,"",214,"6105830",19/01/2026,"P4V","4 RINES GRAF| SENSOR| SUSPENCION| ORQUELLO| ESCAPE NISMO | LLANTA 265 | CALCOMANIA COFRE","VQ38 423362D","","FUAP2-3","","IMPORTADO","","",778033.48,0.00,778033.48
"PEÑUELA","30609","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","PLATA/GRIS","2026","3N6AD35A6TL652962","CORDOBA",0,"",94,"4140763",19/05/2026,"PV3","PENDIENTE CAMBIO A MENUDEO","QR25685504H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA SALINA CRUZ","30783","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A5TL651477","SALINA CRUZ",0,"",85,"4145161",28/05/2026,"PV3","DAÑO MADRINA RAYÓN PUERTA LADO PILOTO","QR25683061H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA TUXTEPEC","30979","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A8TL656656","TUXTEPEC",0,"",73,"4152274",09/06/2026,"PV3","TUMBABURROS","QR25689007H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA ORIZABA","31080","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A0TL657722","ORIZABA",0,"",64,"4157154",18/06/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25688401H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"PEÑUELA","31093","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A9TL658075","CORDOBA",0,"",64,"4157158",18/06/2026,"PV3","TUMBABURROS CON CUBIERTA DE FAROS. SEGURO LLANTA REFACCION, NITRO ACCESORIO TAPON","QR25689411H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"PEÑUELA","31120","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A8TL658858","CORDOBA",0,"",63,"4157751",19/06/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25690857H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA SALINA CRUZ","31130","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A1TL658894","SALINA CRUZ",0,"",63,"4157933",19/06/2026,"PV3","TUMBABURROS DEPORTIVO","QR25691702H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA SALINA CRUZ","31146","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A7TL659046","SALINA CRUZ",0,"",60,"4158885",22/06/2026,"PV3","DISPONIBLE","QR25691323H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA TUXTEPEC","31255","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A5TL657277","TUXTEPEC",0,"",53,"4164213",29/06/2026,"PV3","AFD | TUXTEPEC | REPORTADO 15/07/26","QR25688421H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA ORIZABA","31326","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A3TL662655","ORIZABA",0,"",44,"4168933",08/07/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25695139H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA ORIZABA","31347","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A1TL662105","ORIZABA",0,"",42,"4169669",10/07/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25694774H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"PEÑUELA","31363","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","PLATA/GRIS","2026","3N6AD35A9TL660859","CORDOBA",0,"",38,"4171066",14/07/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25692159H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"PEÑUELA","31385","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A9TL661137","CORDOBA",0,"",37,"4171577",15/07/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25694218H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA JUCHITAN","31413","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A2TL663392","JUCHITAN",0,"",31,"4173666",21/07/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25695666H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA ORIZABA","31435","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A6TL664268","ORIZABA",0,"",28,"4175369",24/07/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25697424H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA JUCHITAN","31522","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A2TL663909","JUCHITAN",0,"",23,"4178325",29/07/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25696334H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA TUXTEPEC","31529","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35AXTL665147","TUXTEPEC",0,"",22,"4178930",30/07/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25696826H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA SALINA CRUZ","31536","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A8TL665258","SALINA CRUZ",0,"",22,"4178929",30/07/2026,"PV3","(SALINA CRUZ) (# CONCS. : 00526), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25698211H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA ORIZABA","31538","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A1TL665716","ORIZABA",0,"",21,"4179799",31/07/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25697593H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA JUCHITAN","31556","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A7TL665798","JUCHITAN",0,"",21,"4181054",31/07/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25698943H","","GCMA7","","NACIONAL","","",378751.26,0.00,378751.26
"BODEGA ORIZABA","31562","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A8TL664482","ORIZABA",0,"",17,"4181923",04/08/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25697363H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA TIERRABLANCA","31572","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A0TL664332","TIERRA BLANCA",0,"",17,"4181919",04/08/2026,"PV3","(TIERRA BLANCA) (# CONCS. : 00410), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25697542H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"PEÑUELA","31576","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A1TL666283","CORDOBA",0,"",17,"4181920",04/08/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25698076H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"PEÑUELA","31577","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A3TL666401","CORDOBA",0,"",17,"4181921",04/08/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25698951H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"PEÑUELA","31578","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A8TL664384","CORDOBA",0,"",17,"4181922",04/08/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25697362H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA SALINA CRUZ","31593","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A2TL664509","SALINA CRUZ",0,"",17,"4182143",04/08/2026,"PV3","TUMBABURROS","QR25696063H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA ORIZABA","31601","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A0TL666386","ORIZABA",0,"",16,"4182558",05/08/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25698696H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"PEÑUELA","31615","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A6TL666604","CORDOBA",0,"",16,"4182559",05/08/2026,"PV3","(CORDOBA) (# CONCS. : 00416), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699517H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA TUXTEPEC","31625","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A3TL666785","TUXTEPEC",0,"",16,"4182656",05/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699707H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA JUCHITAN","31639","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A9TL666581","JUCHITAN",0,"",16,"4182657",05/08/2026,"PV3","(JUCHITAN) (# CONCS. : 00525), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699412H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA ORIZABA","31656","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A4TL666875","ORIZABA",0,"",15,"4183158",06/08/2026,"PV3","(ORIZABA), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699753H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA TUXTEPEC","31660","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A5TL666819","TUXTEPEC",0,"",15,"4183364",06/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699776H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA TUXTEPEC","31661","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","ROJO/GRIS","2026","3N6AD35A7TL666868","TUXTEPEC",0,"",15,"4183365",06/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25698219H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA TUXTEPEC","31669","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A2TL667202","TUXTEPEC",0,"",14,"4184132",07/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699674H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
"BODEGA TUXTEPEC","31670","NP300 CHASIS CAB VDC 2.5L 4 CIL TM 4X2 AA","NISSAN","BLANCO/GRIS","2026","3N6AD35A2TL667281","TUXTEPEC",0,"",14,"4184133",07/08/2026,"PV3","(TUXTEPEC) (# CONCS. : 00524), CANAL ASIG. : ALLOCAT - INDEFINIDO","QR25699838H","","GCMA7","","NACIONAL","","",378891.10,0.00,378891.10
