gpo_tra,des_gpo,numpaq_lin,arttrab,destra,hrsreal,hrspago,hortra,cantrefmat,ventra,totventra,ctouniesti,ctounit,totcto,utilbta,margenuti,nmodordmei,nmodordmai,otr_art,omarca,numpaq,nompaq,lineapaq,nomlinpaq
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 83-TIIDA SEDAN","TAMBOF423BDDL","TAMBO ACEITE MOTOR 20W SN",0.00,0.00,4.00,4.00,44.64,178.56,0.00,42.09,168.36,10.20,5.71,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","83","TIIDA SEDAN"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 83-TIIDA SEDAN","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,171.50,171.50,125.41,42.24,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","83","TIIDA SEDAN"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","TAMBOF423BDDL","TAMBO ACEITE MOTOR 20W SN",0.00,0.00,4.00,4.00,44.64,178.56,0.00,42.09,168.36,10.20,5.71,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,171.50,171.50,125.41,42.24,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","N01","NMEXPRESS",1.00,1.00,1.00,0.00,0.29,0.29,0.00,12.32,12.32,-12.03,-4148.28,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","PA1","PROMO CAMBIO DE ACEITE Y FILTRO",1.00,1.00,1.00,0.00,59.00,59.00,0.00,12.32,12.32,46.68,79.12,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : A2-ALTIMA 3.5L","TAMBOF423BDDL","TAMBO ACEITE MOTOR 20W SN",0.00,0.00,4.00,4.00,44.64,178.56,0.00,42.09,168.36,10.20,5.71,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","A2","ALTIMA 3.5L"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : A2-ALTIMA 3.5L","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,171.50,171.50,125.41,42.24,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","A2","ALTIMA 3.5L"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : C2-NP 300 D23","EMT103TA7CDL","ACEITE MOTOR  10W 30  SN",0.00,0.00,5.00,5.00,191.36,956.80,0.00,136.36,681.80,275.00,28.74,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","C2","NP 300 D23"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : C2-NP 300 D23","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,171.50,171.50,125.41,42.24,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","C2","NP 300 D23"
