gpo_tra,des_gpo,numpaq_lin,arttrab,destra,hrsreal,hrspago,hortra,cantrefmat,ventra,totventra,ctouniesti,ctounit,totcto,utilbta,margenuti,nmodordmei,nmodordmai,otr_art,omarca,numpaq,nompaq,lineapaq,nomlinpaq
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","TAMBOF423BDDL","ACEITE MOTOR 20W",0.00,0.00,4.00,4.00,44.64,178.56,0.00,0.00,0.00,178.56,100.00,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,156.20,156.20,140.72,47.39,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : 92-NP300","PA1","PROMO CAMBIO DE ACEITE Y FILTRO",1.00,1.00,1.00,0.00,59.29,59.29,0.00,13.40,13.40,45.89,77.40,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","92","NP300"
"01","MECANICA","3PK - PROMO CAMBIO DE ACEITE Y FILTRO,   Línea : C2-NP 300 D23","PA1","PROMO CAMBIO DE ACEITE Y FILTRO",1.00,1.00,1.00,0.00,59.29,59.29,0.00,13.40,13.40,45.89,77.40,"","","","","3PK","PROMO CAMBIO DE ACEITE Y FILTRO","C2","NP 300 D23"
"01","MECANICA","B51 - CAMBIO DE BALATAS DELANTERAS,   Línea : 01-TSURU","41060F42X0","BALATAS DELANTERAS B13  G.V.",0.00,0.00,1.00,1.00,750.00,750.00,0.00,229.34,229.34,520.66,69.42,"","","","","B51","CAMBIO DE BALATAS DELANTERAS","01","TSURU"
"01","MECANICA","B51 - CAMBIO DE BALATAS DELANTERAS,   Línea : 01-TSURU","B52","CAMBIO DE BALATAS DELANTERAS PROMOCION",1.00,1.00,1.00,0.00,67.31,67.31,0.00,13.40,13.40,53.91,80.09,"","","","","B51","CAMBIO DE BALATAS DELANTERAS","01","TSURU"
"01","MECANICA","B53 - CAMBIO DE BALATAS TRASERAS ECONOMICAS,   Línea : 01-TSURU","M04","CAMBIO DE BALATAS TRASERAS",1.00,1.00,1.00,0.00,70.00,70.00,10.00,13.40,13.40,56.60,80.86,"","","","","B53","CAMBIO DE BALATAS TRASERAS ECONOMICAS","01","TSURU"
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 01-TSURU","TAMBOF401ADDL","ACEITE PARA MOTOR 20W",0.00,0.00,4.00,4.00,43.96,175.84,0.00,36.15,144.61,31.23,17.76,"","","","","CA1","CAMPAÑA NACIONAL","01","TSURU"
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 01-TSURU","15208F4301","FILTRO DE ACEITE",0.00,0.00,1.00,1.00,140.91,140.91,0.00,51.40,51.40,89.51,63.52,"","","","","CA1","CAMPAÑA NACIONAL","01","TSURU"
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 02-SENTRA B15","TAMBOF401ADDL","ACEITE PARA MOTOR 20W",0.00,0.00,4.00,4.00,43.96,175.84,0.00,36.15,144.61,31.23,17.76,"","","","","CA1","CAMPAÑA NACIONAL","02","SENTRA B15"
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 02-SENTRA B15","15208F4301","FILTRO DE ACEITE",0.00,0.00,1.00,1.00,140.91,140.91,0.00,51.40,51.40,89.51,63.52,"","","","","CA1","CAMPAÑA NACIONAL","02","SENTRA B15"
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 05-ALMERA STD.","TAMBOF401ADDL","ACEITE PARA MOTOR 20W",0.00,0.00,4.00,4.00,76.10,304.40,0.00,36.15,144.61,159.79,52.49,"","","","","CA1","CAMPAÑA NACIONAL","05","ALMERA STD."
"01","MECANICA","CA1 - CAMPAÑA NACIONAL,   Línea : 05-ALMERA STD.","152089E01A","FILTRO PARA ACEITE",0.00,0.00,1.00,1.00,296.91,296.91,0.00,156.20,156.20,140.72,47.39,"","","","","CA1","CAMPAÑA NACIONAL","05","ALMERA STD."
